N,T,dt,time_classical,time_hse,time_qtn,l2_error_hse,l2_error_qtn
8,3,0.01,0.0008680820465087891,0.009430170059204102,0.0006971359252929688,0.5273301156023148,0.7040725776880017
16,3,0.01,0.00031495094299316406,0.0004069805145263672,0.0012409687042236328,0.6137915466008881,0.7020654080261512
32,3,0.01,0.0002930164337158203,0.0006389617919921875,0.0028221607208251953,0.6575638114654873,0.7014991282028492
64,3,0.01,0.0008740425109863281,0.009616851806640625,0.005941867828369141,0.681363601181215,0.7032443152599105
